text,label
Global Engineering Consortium // Semester 2 Assessment Guidelines // Publication Code: GEC-202 // Page xvi,IGNORE
Page 20 — Section 5.8: Linear Programming Dualities (Index continued on page 21) ---,IGNORE
Building a voluntary script to plot the confusion matrix and ROC curves of your validation output awards a three-point premium.,OPTIONAL_BONUS
"According to the fine-tuning guide provided in the LMS, adapt a pretrained GPT-2 model from HuggingFace to generate domain-specific text based on the provided corpus.",TECHNICAL_TASK
Students are required to upload their draft thesis outline to the turnitin validation sandbox prior to submitting their final paper copies at the faculty office.,PRE_REQUISITE
Helpdesk Ticket: Submitting a system hardware trouble ticket routes your machine's unique serial identifier directly to the bureaucratic IT support queue.,ADMIN_TRAP
You must possess an active upper-division standing in the computer science department to register your project group.,PRE_REQUISITE
"Note: The portal will not accept document submissions after the cutoff date of Dec, 2XXX.",ADMIN_TRAP
Background Reading and Conceptual Overview,IGNORE
Linking your source files requires the POSIX threads library package to be pre-compiled and present in the system path.,PRE_REQUISITE
"Documentation Guideline: All figures, diagrams, and screenshots embedded in the report must be labeled with a caption below the image.",ADMIN_TRAP
Deploying your finalized deep learning architecture onto a cloud platform serves as a voluntary stretch goal that yields a four-point bonus premium.,OPTIONAL_BONUS
Compiling the transformer architecture requires the PyTorch deep learning library to be initialized with tensor support enabled.,PRE_REQUISITE
Accessing the dedicated graduate teaching assistant queue is restricted to students seeking clarification on bureaucratic grading policies.,ADMIN_TRAP
"Create an image augmentation pipeline using Albumentations that applies rotation, flipping, and brightness adjustments to the provided training images.",TECHNICAL_TASK
Confusion matrix visualization represents exactly 15% of total marks.,WEIGHTED_PRIORITY
"Using the clustering results from the previous task, label each customer segment with a descriptive name and create a visual summary using a pie chart and bar graph.",TECHNICAL_TASK
Criterion B: Deep learning model architecture justification (Worth 20 points).,WEIGHTED_PRIORITY
Bonus Point Challenge: Crafting an extensive suite of mock-based integration tests for external API endpoints yields 3 additional marks.,OPTIONAL_BONUS
Score Weight: LRU caching layer implementation accounts for 5% of your total score.,WEIGHTED_PRIORITY
Quality Deficit: Label leakage into training set triggers a 30-point deduction.,WEIGHTED_PRIORITY
"Alternatively, you may voluntarily implement an early-stopping callback to earn a 3-point score premium.",OPTIONAL_BONUS
EXTRA CREDIT MILESTONE Fine-tuning your model parameters using an advanced population-based training strategy serves as a completely voluntary pursuit that yields a six percent mark buffer.,OPTIONAL_BONUS
Verifying that your registered student profile matches the official course catalog database is handled by the department registrar office.,ADMIN_TRAP
Submit your output in a .py file format.,ADMIN_TRAP
The architectural design documentation is evaluated out of a maximum of 20 points toward your practical assessment.,WEIGHTED_PRIORITY
Polishing the exception handling framework to intercept all runtime panics is weighted at 20 marks toward your evaluation.,WEIGHTED_PRIORITY
"With the provided historical stock data, train a recurrent neural network (RNN) using PyTorch to predict future price trends.",TECHNICAL_TASK
Bind the server socket to port 8080 and listen for incoming TCP connection handshakes.,TECHNICAL_TASK
Implementing a custom categorical cross-entropy loss function using raw mathematical operations is weighted at 20 marks toward your total.,WEIGHTED_PRIORITY
Please provide any additional feedback or comments that would help assess the overall performance.,ADMIN_TRAP
Understanding math is a must for algorithm design; you must review logarithmic properties before calculating the growth rates of tree structures.,PRE_REQUISITE
"REGISTRATION DEADLINE: Teams must finalize their repository registration on the shared sheet by Jan 30, 202X.",ADMIN_TRAP
The department archivist retains a digital copy of your team organization charter strictly to document group distribution metrics for university records.,ADMIN_TRAP
Incorporating an optional early-stopping callback routine into your neural network training loop grants a flat three-point extra credit premium.,OPTIONAL_BONUS
Build a simple text generation script using a fine-tuned GPT-2 model from HuggingFace that accepts a prompt from the user and outputs a 100-word continuation.,TECHNICAL_TASK
All project files must be compressed using .zip format; .rar extensions will not be processed.,ADMIN_TRAP
Compute the absolute variance across all feature column vectors.,TECHNICAL_TASK
You can capture an additional five percent bonus premium by authoring a voluntary section analyzing the out-of-distribution generalization of your network.,OPTIONAL_BONUS
b. Change the list of words to be used for evaluation.,TECHNICAL_TASK
"As an additional non-mandatory milestone, you can capture an extra four-point bonus premium by implementing a custom training progress dashboard.",OPTIONAL_BONUS
PORTAL DISCLAIMER: Submissions sent via MS Teams chat or external links will not be recognized.,ADMIN_TRAP
Please make sure you register your physical hardware MAC address on the campus network registration page before you try to connect to the remote cluster terminal.,PRE_REQUISITE
Your workstation must be provisioned with a modern neural processing unit to handle the matrix multiplication routines required by the network model.,PRE_REQUISITE
